Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,cs_rank((high - low) / (close + 1e-5)) * cs_rank(volume / (vwap + 1e-5)),-0.23102689034568535,164.43050352703125,-8.77851125484688
Baseline,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"cs_rank(vwap - close) * cs_rank(volume / (stddev(volume, 60) + 1e-5)) * cs_rank(close - open)",5.028714688361624,248.75985437841192,-15.82845284672501
Baseline,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"rank(volume / (stddev(volume, 60) + 1e-5))",1.1583069866822986,148.90489071798783,-4.60760681012046
Baseline,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"cs_rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5) + decay_linear(volume, 20))",1.1698440701501833,12.27616699831121,0.6793034682576389
Baseline,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,cs_rank((close - open) / (volume + 1e-5)) + cs_rank((vwap - open) / (volume + 1e-5)) - cs_rank((close - vwap) / (volume + 1e-5)),0.9465475885688186,330.0143710430702,-22.712100949507793
Baseline,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) + rank(volume / (close + 1e-5)) - rank(close - vwap)",1.7250333334220878,213.58324577531948,-11.258405167297543
Baseline,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"rank(volume / (vwap * stddev(volume, 20) + 1e-5))",1.1012000553084689,85.67544417933017,-5.23019890609764
Baseline,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) + rank(volume / (sma(volume, 20) + 1e-5)) + rank(vwap - close)",0.6439488704978894,250.89241976669456,-17.392459866885684
Baseline,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"cs_rank(volume / (vwap * 1000000 + 1e-5)) - zscore(close, 60) + cs_rank(open - close)",-0.7907874902952443,119.10684564826099,-5.705637627723137
Baseline,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) + rank(volume / (vwap + 1e-5))",0.44852258439474835,51.774227054601944,-2.4767343477091273
Baseline,10,2011-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,"rank((delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) * ts_rank(close, 60) * cs_rank(volume))",-0.38411930407245154,61.0073019321063,-2.9709536754542856
Baseline,11,2012-01-01 to 2016-12-31,2017-01-01 to 2017-12-31,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) * cs_rank(volume / (sma(volume, 60) + 1e-5))",0.8382504377928697,168.44310378835837,-8.527450665833108
Baseline,12,2013-01-01 to 2017-12-31,2018-01-01 to 2018-12-31,"rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) + rank(vwap - close) + rank(volume / (vwap + 1e-5))",1.5856717733222312,216.07128485552644,-11.354227508139434
Baseline,13,2014-01-01 to 2018-12-31,2019-01-01 to 2019-12-31,"cs_rank((delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)) + cs_rank(volume))",-1.6280751789757864,42.61411248527561,-3.776893704849152
Baseline,14,2015-01-01 to 2019-12-31,2020-01-01 to 2020-12-31,cs_rank(volume / (vwap + 1e-5)) - cs_rank(close / (vwap + 1e-5)),1.1480279524237438,249.96721007488088,-5.092717517256217
Baseline,15,2016-01-01 to 2020-12-31,2021-01-01 to 2021-12-31,"ts_rank(close, 120) * cs_rank(volume / (cs_rank(volume) + 1e-5)) + cs_rank(stddev(close, 60) / cs_rank(stddev(close, 60)))",-0.3258537180715013,68.96586830051032,-1.56887662255266
Baseline,16,2017-01-01 to 2021-12-31,2022-01-01 to 2022-12-31,"cs_rank(ts_rank(close, 60) / (stddev(close, 60) + 1e-5)) * cs_rank(vwap - close)",-0.4864489918956487,222.65151343044283,-9.220628594231727
Baseline,17,2018-01-01 to 2022-12-31,2023-01-01 to 2023-12-31,"cs_rank((close - sma(close, 50)) / (sma(close, 50) + 1e-5) * (vwap - open) / (vwap + 1e-5)) * cs_rank(volume / (volume + 1e-5))",2.29332594712643,237.593575314767,-9.309848116091938
Baseline,18,2019-01-01 to 2023-12-31,2024-01-01 to 2024-12-31,cs_rank(close - open) + cs_rank(volume) + cs_rank((high - low) / (high + low + 1e-5)) + cs_rank(vwap - close),0.23374906889275635,211.43578005362752,-7.718691793876672
Baseline,19,2020-01-01 to 2024-12-31,2025-01-01 to 2025-12-31,"cs_rank(volume / (vwap + 1e-5) * cs_rank(zscore(close - open, 20) * decay_linear(zscore(close - open, 20), 20)))",1.5895115004492604,136.39502104553762,-4.362905822368848
Baseline,20,2021-01-01 to 2025-12-31,2026-01-01 to 2026-08-13,"cs_rank((close - open) / (volume + 1e-5) + ts_rank(vwap, 20)) + cs_rank(stddev(volume, 20))",0.7420528052731507,95.99731922686514,-1.5046435258381694
Execution-Aware,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,"decay_linear(rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)), 240)",-0.70068959514338,5.487039383381557,-0.9527572480332691
Execution-Aware,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"decay_linear(cs_rank(delta(close, 252) / (stddev(delta(close, 1), 252) + 1e-5)), 252)",3.217671238593871,3.8773309599965704,2.997454413711931
Execution-Aware,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"decay_linear(cs_rank((delta(close, 120) / (stddev(delta(close, 1), 120) + 1e-5))), 252)",0.023560960198247,7.109723520915184,-0.12187395149779712
Execution-Aware,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"decay_linear(rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)), 240)",-2.5128523777907796,7.814099663320319,-2.702373494066516
Execution-Aware,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,"decay_linear(cs_rank(delta(close, 180) / (stddev(delta(close, 1), 180) + 1e-5)), 252)",-0.5019977473237407,3.838713257216384,-0.7826661159762897
Execution-Aware,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"decay_linear(cs_rank(delta(close, 200) / (stddev(delta(close, 1), 200) + 1e-5)), 252)",0.9593769705725504,4.058400704774037,0.8170292017168637
Execution-Aware,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"decay_linear(cs_rank(delta(close, 240) / (stddev(delta(close, 1), 240) + 1e-5)), 252)",0.5682831268671676,3.6861334760957023,0.45168776868176347
Execution-Aware,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"decay_linear(cs_rank(delta(close, 120) / (stddev(delta(close, 1), 120) + 1e-5)), 240)",1.4255463642484025,3.9792976541136653,1.2288856640521975
Execution-Aware,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"decay_linear(cs_rank(delta(close, 120) / (stddev(delta(close, 1), 120) + 1e-5)), 252)",-0.16396358028487928,4.3167844686860395,-0.38513715589476194
Execution-Aware,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"decay_linear(cs_rank(delta(close, 240) / (stddev(delta(close, 1), 240) + 1e-5)), 252)",1.0883091826852485,3.8473670875781165,0.985197719124172
Execution-Aware,10,2011-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,"decay_linear(cs_rank(delta(close, 252) / (stddev(delta(close, 1), 252) + 1e-5)), 252)",-1.850560649145815,4.151078399328174,-1.9592720299851887
Execution-Aware,11,2012-01-01 to 2016-12-31,2017-01-01 to 2017-12-31,"decay_linear(cs_rank(delta(close, 240) / (stddev(delta(close, 1), 240) + 1e-5)), 252)",1.350098827315791,3.4257006331915236,1.2148218326523235
Execution-Aware,12,2013-01-01 to 2017-12-31,2018-01-01 to 2018-12-31,"decay_linear(cs_rank(delta(close, 180) / (stddev(delta(close, 1), 180) + 1e-5)), 252)",0.6847316426083756,3.8876517008236133,0.5328795301813726
Execution-Aware,13,2014-01-01 to 2018-12-31,2019-01-01 to 2019-12-31,"decay_linear(cs_rank(delta(close, 240) / (stddev(delta(close, 1), 240) + 1e-5)), 252)",-0.6438387156283416,3.519051025556128,-0.7622662482482007
Execution-Aware,14,2015-01-01 to 2019-12-31,2020-01-01 to 2020-12-31,"decay_linear(cs_rank(delta(close, 240) / (stddev(delta(close, 1), 180) + 1e-5)), 252)",0.1240482413638094,5.168390408110734,0.044193460831421894
Execution-Aware,15,2016-01-01 to 2020-12-31,2021-01-01 to 2021-12-31,"decay_linear(rank(delta(close, 60) / (stddev(delta(close, 1), 60) + 1e-5)), 240)",-0.9488976493872419,6.514308496603651,-1.1158807792119694
Execution-Aware,16,2017-01-01 to 2021-12-31,2022-01-01 to 2022-12-31,"decay_linear(rank(delta(close, 120) / (stddev(delta(close, 1), 60) + 1e-5)), 240)",0.14999890848016775,5.182283662669815,0.014607273172230751
Execution-Aware,17,2018-01-01 to 2022-12-31,2023-01-01 to 2023-12-31,"decay_linear(cs_rank(delta(close, 240) / (stddev(delta(close, 1), 240) + 1e-5)), 252)",-1.1892366793487241,4.633049807823213,-1.321669834709958
Execution-Aware,18,2019-01-01 to 2023-12-31,2024-01-01 to 2024-12-31,"decay_linear(cs_rank(delta(close, 240) / (stddev(delta(close, 1), 240) + 1e-5)), 252)",1.5796231318950802,4.167047614794857,1.4567475298433714
Execution-Aware,19,2020-01-01 to 2024-12-31,2025-01-01 to 2025-12-31,"decay_linear(rank(delta(close, 240) / (stddev(delta(close, 1), 240) + 1e-5)), 252)",-0.003498736155846259,4.312258450241566,-0.14483795572250766
Execution-Aware,20,2021-01-01 to 2025-12-31,2026-01-01 to 2026-08-13,"decay_linear(rank(delta(close, 120) / (stddev(delta(close, 1), 120) + 1e-5)), 252)",0.9485499065989471,6.4844706823388725,0.849260437077571
