Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,cs_rank(-1 * (close / (vwap + 1e-5))),2.1651663568104413,333.67553555814334,-23.062430507629035
Baseline,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"cs_rank(-1 * (delta(close, 1) + decay_linear(vwap, 5) + zscore(close, 20)))",0.1782402597577082,14.594447706677618,-0.8431995912159379
Baseline,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"cs_rank((-1 * delta(close, 1)) / (volume + 1e-5) + cs_rank(vwap - close) + ts_rank(zscore(volume, 20), 20))",2.117678944284895,316.08536623490556,-13.498453153298664
Baseline,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"cs_rank(-1 * (close - vwap) + ts_rank(volume, 20) * cs_rank(volume))",2.915602138706549,262.7213652024833,-11.39213446001245
Baseline,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,"cs_rank(-1 * (delta(close, 1) + decay_linear(zscore(volume, 20), 10) + stddev(close, 30) + cs_rank(vwap)))",-0.09344822921436186,106.62545349269162,-8.010208382061451
Baseline,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"cs_rank(-1 * delta(close, 1) + ts_rank(volume, 20) + cs_rank(vwap - close))",1.3056207431125657,320.2088609054564,-18.307648884566518
Baseline,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"cs_rank(-1 * (zscore(close, 20) + zscore(high - low, 20)))",0.12341176725391745,203.06986868622826,-13.032110208007577
Baseline,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"cs_rank(-1 * (delta(close, 1) / (stddev(close, 20) + 1e-5) + close))",1.4464064635062766,12.102616574226694,0.5241993764981707
Baseline,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"cs_rank(-1 * (delta(close, 1) + decay_linear(close, 10) + zscore(volume, 20)))",0.7504519721617106,11.285226894680058,-0.16895680519175454
Baseline,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"cs_rank(-1 * (ts_rank(close, 20) - zscore(volume, 20) * cs_rank((vwap + 1e-5) / (close + 1e-5)) + decay_linear(close, 10)))",-1.3110552093348002,7.134007880370895,-1.616421438054264
