iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,node_count,reward
0,baseline,"rank(-1 * stddev(delta(close, 1), 20))",,0.9905435182264488,18.10683427342099,0.078490647859701,0.01877604171988468,5,0.9905435182264488
1,baseline,"cs_rank(-1 * stddev(delta(close, 1), 20) + ts_rank(volume, 20))",,0.9854831575793173,135.53547485443084,0.655542273939818,-7.3589094138825,7,0.9854831575793173
2,baseline,"cs_rank(-1 * stddev(delta(close, 1), 20) + decay_linear(ts_rank(volume, 20), 20))",,0.9605774870841667,24.369920619433042,0.10456364334821995,-0.3198442265116103,8,0.9605774870841667
3,baseline,"cs_rank(-1 * stddev(delta(close, 1), 20) + decay_linear(ts_rank(vwap, 20), 20))",,0.5618063676073728,22.12186491600405,0.09539983813358507,-0.5301618682281101,8,0.5618063676073728
4,baseline,"cs_rank(-1 * stddev(delta(close, 1), 20) + decay_linear(cs_rank(vwap), 20))",,0.41370081308184325,26.875626665103987,0.12159420406235757,-0.613092265610228,8,0.41370081308184325
5,baseline,"cs_rank(-1 * stddev(delta(close, 1), 20) + decay_linear(cs_rank(vwap), 20))",,0.41370081308184325,26.875626665103987,0.12159420406235757,-0.613092265610228,8,0.41370081308184325
6,baseline,"cs_rank(-1 * stddev(delta(close, 1), 20) + zscore(vwap, 20))",,0.1921992569275198,81.00554096849845,0.3897859726073436,-4.299877028025342,7,0.1921992569275198
7,baseline,"cs_rank(-1 * stddev(delta(close, 1), 20) + zscore(vwap, 20) * cs_rank(volume))",,0.48175316391504514,75.96861115783142,0.3662461929690434,-3.846190964559653,9,0.43175316391504515
8,baseline,"rank(-1 * stddev(delta(close, 1), 20) + zscore(vwap, 20))",,0.1921992569275198,81.00554096849845,0.3897859726073436,-4.299877028025342,7,0.1921992569275198
9,baseline,"rank(-1 * stddev(delta(close, 1), 20) + ts_rank(volume, 20))",,0.9854831575793173,135.53547485443084,0.655542273939818,-7.3589094138825,7,0.9854831575793173
10,baseline,"rank(-1 * stddev(delta(close, 1), 20) + cs_rank(volume / (volume + 1e-5)))",,0.8717516757537063,38.53335771281515,0.17220264010096095,-1.6157945949168115,9,0.8217516757537062
