Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + decay_linear(close, 20)))",1.6768979423201178,4.126468852203022,1.4088081744516223
Baseline,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + cs_rank(high - low) - cs_rank(volume) + decay_linear(ts_rank(close, 20), 10)))",0.6592674816114236,48.09061735284918,-2.242975545555049
Baseline,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + decay_linear(ts_rank(vwap, 20), 20)))",1.4168802252323718,21.315881313008532,0.7857852220733371
Baseline,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"rank(-1 * stddev(delta(close, 1), 20) + cs_rank(volume))",0.4392339469437328,36.1733747257901,-1.095731592655626
Baseline,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,"cs_rank(-1 * (stddev(delta(close, 1), 20) + zscore(vwap, 20) + decay_linear(close, 20)))",0.7893174811791136,8.090724358852128,0.12135693969584609
Baseline,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"rank(-1 * (ts_rank(close, 20) + decay_linear(ts_rank(vwap, 20), 10)))",0.522746279983227,82.20912536102504,-3.055950283533928
Baseline,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"cs_rank(-1 * stddev(delta(close, 1), 20) + decay_linear(cs_rank(volume), 20) + ts_rank(vwap - close, 20) + cs_rank(open - close))",2.656627394674678,202.4184329662053,-12.666451127999586
Baseline,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"rank(-1 * cs_rank(stddev(delta(close, 1), 20) / (volume + 1e-5) * vwap))",1.255266682333776,36.7804079125225,-2.0156378551957683
Baseline,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"cs_rank(-1 * decay_linear(stddev(delta(close, 1), 20), 20)) + cs_rank(volume / (vwap + 1e-5))",0.9818348802447506,30.331649180522213,-1.03186388825932
Baseline,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + zscore(close - vwap, 20)))",-0.007804941493595365,222.7107012068287,-13.485271301164525
