iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,node_count,reward
0,baseline,"rank(-1 * zscore(volume, 20))",,-0.8239841101565529,248.3324339302368,1.569830023854852,-22.335287840690558,4.0,-0.8239841101565529
1,baseline,"cs_rank(-1 * zscore(volume, 20) + ts_rank(close - open, 20))",,-1.0027624455955113,257.54401984889824,1.6314843236493224,-22.65631268392321,7.0,-1.0027624455955113
2,baseline,"cs_rank(-1 * zscore(volume, 20) + cs_rank(close - open))",,-1.0008122637327201,261.6842586006234,1.6661606011756456,-22.608008824475043,7.0,-1.0008122637327201
3,baseline,"cs_rank(-1 * zscore(close - open, 20) + cs_rank(volume / (high - low + 1e-5))","'(' was never closed (<unknown>, line 1)",,,,,,-inf
4,baseline,"cs_rank(-1 * zscore(close - open, 20) + cs_rank(volume / (high - low + 1e-5)))",,0.7797320862212196,310.8680161334238,2.037239656533515,-25.665028058120104,10.0,0.6797320862212196
5,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
6,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
7,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
8,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
9,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
10,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
11,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
12,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
13,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
14,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
15,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
16,baseline,"cs_rank(-1 * zscore(close - open, 20)) + cs_rank(volume / (high - low + 1e-5))",,1.5082238023928554,255.93274295156903,1.6198870223138968,-20.644759257772627,10.0,1.4082238023928553
