Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,"cs_rank(sma(close, 20) - close + vwap - open + decay_linear(ts_rank(volume, 20), 10) + zscore(volume, 20) - stddev(close, 20))",-0.07262219050426585,149.90284942787753,-9.876435952763607
Baseline,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"cs_rank((high - low) / (vwap + 1e-5) + decay_linear(ts_rank(volume, 20), 10))",0.38414693747293993,86.95245400917582,-6.0177635099860245
Baseline,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"cs_rank(zscore(close - open, 20) + cs_rank(volume / (volume + 1e-5)))",-0.8106512089330351,308.6712003972643,-12.702936510573748
Baseline,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(volume / (sma(volume, 20) + 1e-5))",3.1692971810773405,308.06791752121336,-10.92076076056436
Baseline,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,"rank(-1 * zscore(volume, 20) * cs_rank(close / (high - low + 1e-5))) * rank(vwap - close)",2.253081534240558,299.63142318786106,-24.449460690893527
Baseline,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"rank(-1 * zscore(close / (open + 1e-5), 20) + volume / (vwap + 1e-5))",-0.10764354971548701,45.79165971386793,-3.214412758534031
Baseline,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"cs_rank(-1 * zscore(close - vwap, 20) + ts_rank(volume, 20))",1.5297194699935805,325.3607018925061,-21.78469134269799
Baseline,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"cs_rank(zscore(close - open, 20) * zscore(volume, 20) * zscore(close / (open + 1e-5), 20))",-1.2315825740995512,280.04771978181316,-27.88752091892774
Baseline,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"cs_rank(-1 * zscore(close - open, 20) + ts_rank(vwap - close, 20) + cs_rank(volume))",-0.4979284125313783,319.0265067982215,-21.847540055425167
Baseline,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"cs_rank((high - low) / (close - open + 1e-5)) + cs_rank(volume / (sma(volume, 20) + 1e-5)) - cs_rank(close - vwap)",1.3786894489219774,318.5476006929779,-18.978876888745887
Baseline,10,2011-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,"cs_rank(ts_rank(close, 20) + zscore(volume, 20) - decay_linear(vwap, 20))",2.010085000088933,8.333128815603677,1.729074722932234
Baseline,11,2012-01-01 to 2016-12-31,2017-01-01 to 2017-12-31,"cs_rank((close - open) / (high - low + 1e-5)) + cs_rank(volume / (sma(volume, 20) + 1e-5)) + cs_rank(vwap - close)",0.9587650711616164,285.31093453335615,-18.49614573294618
Baseline,12,2013-01-01 to 2017-12-31,2018-01-01 to 2018-12-31,cs_rank(close - open) * cs_rank(vwap - close) * cs_rank(volume),-0.275711316928527,194.72261156306453,-15.329872277960401
Baseline,13,2014-01-01 to 2018-12-31,2019-01-01 to 2019-12-31,"cs_rank(-1 * zscore(close - open, 20) + 0.5 * zscore(volume, 20) + 0.3 * zscore(vwap - open, 20))",-0.0355584426362254,310.99764339989076,-19.282442426119637
Baseline,14,2015-01-01 to 2019-12-31,2020-01-01 to 2020-12-31,"cs_rank(vwap - close) + cs_rank((vwap - close) / (high - low + 1e-5)) + cs_rank(zscore(volume, 100))",1.4729005714687946,328.6716314018578,-8.633260140257875
Baseline,15,2016-01-01 to 2020-12-31,2021-01-01 to 2021-12-31,cs_rank(close - open) + cs_rank(vwap - close),-1.0262865833990553,394.1686343523615,-11.581980849550678
Baseline,16,2017-01-01 to 2021-12-31,2022-01-01 to 2022-12-31,"-1 * zscore(volume, 20) * cs_rank((high - low) / (close + 1e-5)) + 0.5 * cs_rank(vwap - close)",0.48187369524837026,287.9463042024998,-10.332651440474978
Baseline,17,2018-01-01 to 2022-12-31,2023-01-01 to 2023-12-31,"cs_rank(zscore(vwap - close, 20) * decay_linear(volume, 20) * cs_rank(close - open) * cs_rank(high - low))",-0.8513962273420881,318.1758447021936,-16.167432512813598
