Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,"rank(-1 * decay_linear(stddev(delta(close, 1), 20), 30) + cs_rank(volume) + ts_rank(vwap - close, 20) + cs_rank((high - low) / (vwap + 1e-5)))",0.6190828070447668,168.6023041739718,-13.600256062086984
Baseline,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"cs_rank(-1 * (stddev(delta(close, 1), 20) + decay_linear(ts_rank(close, 20), 20)))",0.43871558882906936,23.41459403140976,-0.9090305743778356
Baseline,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + ts_rank(close - vwap, 20) + decay_linear(close - vwap, 20)))",1.686046234381427,114.88700431627956,-2.354914437027629
Baseline,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"rank(-1 * stddev(delta(close, 1), 20) / (stddev(volume, 20) + 1e-5) + zscore(vwap - close, 20) + cs_rank(volume))",2.9273012990733136,309.65015725525564,-11.771002667401133
Baseline,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + decay_linear(close - open, 10) + ts_rank(high - low, 20)))",0.9060023647320645,178.13463669944008,-11.018826076622462
Baseline,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"rank(-1 * (decay_linear(close - open, 20) + vwap + ts_rank(volume, 20)))",-0.09902753256830249,7.565942976583713,-0.5072212045089711
Baseline,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"cs_rank(-1 * stddev(delta(close, 1), 20) / (volume + 1e-5)) + cs_rank(zscore(vwap - close, 20))",2.1235931965378083,253.50083898245026,-15.29220229134441
Baseline,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"cs_rank(-1 * sma(stddev(delta(close, 1), 20), 10) * cs_rank(vwap))",1.4889023701510438,7.582271018115595,0.8525269396847319
Baseline,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"cs_rank(-1 * decay_linear(stddev(delta(close, 1), 20), 20)) + cs_rank(volume / (vwap + 1e-5))",0.9818348802447506,30.331649180522213,-1.03186388825932
Baseline,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + zscore(close - vwap, 20)))",-0.007804941493595365,222.7107012068287,-13.485271301164525
Baseline,10,2011-01-01 to 2015-12-31,2016-01-01 to 2016-12-31,"rank(-1 * stddev(delta(close, 1), 20) + ts_rank(delta(close, 1), 5) + cs_rank(vwap - close))",2.37576297656032,121.21077614012425,-4.840199491660793
