Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2001-01-01 to 2005-12-31,2006-01-01 to 2006-12-31,"cs_rank(-1 * stddev(delta(close, 1), 20) + zscore(volume, 20) + cs_rank(vwap - close))",-0.43838725348430263,228.32331965852188,-17.370692752530367
Baseline,1,2002-01-01 to 2006-12-31,2007-01-01 to 2007-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + decay_linear(ts_rank(high, 20), 20) + cs_rank(vwap)))",0.21511385116656953,16.318974661512048,-0.7732626123368721
Baseline,2,2003-01-01 to 2007-12-31,2008-01-01 to 2008-12-31,"rank(-1 * (stddev(delta(close, 1), 20) / (decay_linear(volume, 20) + 1e-5)) + cs_rank(vwap / (close + 1e-5)) + ts_rank(close - open, 20))",1.591577135527821,328.09041296134507,-10.10852197023192
Baseline,3,2004-01-01 to 2008-12-31,2009-01-01 to 2009-12-31,"rank(-1 * stddev(delta(close, 1), 20) / (stddev(volume, 20) + 1e-5)) + rank(vwap - close)",3.6507453070079405,246.9498438279217,-7.291488053319487
Baseline,4,2005-01-01 to 2009-12-31,2010-01-01 to 2010-12-31,"rank(-1 * stddev(delta(close, 1), 20) * ts_rank(zscore(close, 20), 20) * cs_rank(vwap) * decay_linear(close, 10))",0.009194859220837666,49.05476676283793,-3.581547187431623
Baseline,5,2006-01-01 to 2010-12-31,2011-01-01 to 2011-12-31,"rank(-1 * (ts_rank(close, 20) + cs_rank((close - open) / (high - low + 1e-5)) + decay_linear(vwap, 10)))",-0.11924685742912697,8.597496083093557,-0.5788071647182405
Baseline,6,2007-01-01 to 2011-12-31,2012-01-01 to 2012-12-31,"rank(-1 * (stddev(delta(close, 1), 20) + decay_linear(close, 20)))",1.73045776183373,4.064038476898114,1.4614366405300871
Baseline,7,2008-01-01 to 2012-12-31,2013-01-01 to 2013-12-31,"cs_rank(-1 * sma(stddev(delta(close, 1), 20), 10) * cs_rank(vwap * ts_rank(close, 20)))",1.5368716611466922,54.56768882073661,-2.9955329924236795
Baseline,8,2009-01-01 to 2013-12-31,2014-01-01 to 2014-12-31,"cs_rank(-1 * stddev(delta(close, 1), 20) / (sma(volume, 20) + 1e-5) * cs_rank(vwap) * decay_linear(ts_rank(close, 20), 10))",0.916513983170715,16.18292261231964,-0.3207820213721267
Baseline,9,2010-01-01 to 2014-12-31,2015-01-01 to 2015-12-31,"rank(-1 * stddev(delta(close, 1), 20) + cs_rank(vwap / (close + 1e-5)))",-0.943359207291124,139.67941214852067,-9.553824299767395
