iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,reward
1,baseline,"rank(ts_mean(returns, 20))",,0.08665010472400525,143.04875841962402,0.3194785299300172,-1.929068155217004,0.08665010472400525
2,baseline,"rank(ts_mean(returns, 20)) * rank(volume)",,0.5569066781287484,145.16299560220182,0.32382598569707405,-1.7995611431456282,0.5569066781287484
3,baseline,"rank(ts_mean(returns, 20)) * rank(decay_linear(volume, 20))",,0.5556304605554325,102.76560423499691,0.22664184961130637,-1.1046424723491874,0.5556304605554325
4,baseline,"rank(ts_mean(returns, 20)) * rank(decay_linear(volume, 20)) * rank(vwap)",,-0.05710966815573506,99.89144691201832,0.214159200565848,-1.5838492252171148,-0.05710966815573506
5,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20))",,0.9104808045708821,127.28262962994191,0.30242236360838465,-0.9912335050089074,0.9104808045708821
6,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(decay_linear(ts_std(returns, 20), 20))",,0.9016916310577495,114.46343741381229,0.2695330094740772,-0.7749649966684633,0.9016916310577495
7,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(high - low)",,0.4733302145258841,213.8276975872162,0.535561339720376,-2.54614426021512,0.4733302145258841
8,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(decay_linear(returns, 20))",,0.7866539245222497,135.26087417661157,0.3358534061861274,-1.1903247799430712,0.7866539245222497
9,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(correlation(returns, volume, 20))",,1.0007436651535322,122.4475993309079,0.30380749808516844,-0.8892204795257854,1.0007436651535322
10,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(correlation(returns, volume, 20)) * rank(decay_linear(returns, 50))",,0.8873323837878743,114.71284243584866,0.2911448653244325,-0.8068677105942395,0.8873323837878743
11,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(correlation(returns, volume, 20)) * rank(decay_linear(returns, 50)) * rank(ts_min(returns, 20))",,0.5662036995996861,132.6225803534712,0.33851376419696505,-1.652068496984681,0.5662036995996861
12,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(correlation(returns, volume, 20)) * rank(decay_linear(returns, 50)) * rank(ts_min(returns, 20)) * rank(ts_max(returns, 20))",,0.6726003645305685,125.95244862617216,0.33628480704588426,-1.4812180015578738,0.6726003645305685
13,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(correlation(returns, volume, 20)) * rank(decay_linear(returns, 50)) * rank(ts_min(returns, 20)) * rank(ts_max(returns, 20)) * rank(delta(returns, 1))",,0.6824914326316321,369.3436164320438,1.1469157283336593,-6.0943396193473385,0.6824914326316321
14,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(correlation(returns, volume, 20)) * rank(decay_linear(returns, 50)) * rank(ts_min(returns, 20)) * rank(ts_max(returns, 20)) * rank(delta(returns, 1)) * rank(log(volume))",,0.7411514430319674,360.28678571857444,1.1381852406546478,-5.534778735831136,0.7411514430319674
15,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(correlation(returns, volume, 20)) * rank(decay_linear(returns, 50)) * rank(ts_min(returns, 20)) * rank(ts_max(returns, 20)) * rank(delta(returns, 1)) * rank(log(volume)) * rank(sign(returns))",,0.556703809290843,411.3965558781872,1.3359030388470416,-6.431504207895435,0.556703809290843
16,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(correlation(returns, volume, 20)) * rank(decay_linear(returns, 50)) * rank(ts_min(returns, 20)) * rank(ts_max(returns, 20)) * rank(delta(returns, 1)) * rank(log(volume)) * rank(sign(returns)) * rank(abs(returns))",,0.32603054930236064,455.173349677551,1.5619205259582554,-7.234132273955571,0.32603054930236064
17,baseline,"rank(ts_mean(returns, 20)) * rank(volume) * rank(ts_std(returns, 20)) * rank(correlation(returns, volume, 20)) * rank(decay_linear(returns, 50)) * rank(ts_min(returns, 20)) * rank(ts_max(returns, 20)) * rank(delta(returns, 1)) * rank(log(volume)) * rank(sign(returns)) * rank(abs(returns))",,0.32603054930236064,455.173349677551,1.5619205259582554,-7.234132273955571,0.32603054930236064
