iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,reward
1,execution_aware,"ts_rank(close - vwap, 20)",,-0.5883139244895274,693.0009264993666,1.7488120523839235,-13.58846612484818,-361.07927359324424
2,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20)",,-0.40177725132902614,264.20247299971646,0.602268301592826,-5.360303986289731,-137.32116016392987
3,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20)",,-0.37646276136067286,416.6914975342952,1.0095848837263646,-8.708488947441221,-216.7988905983192
4,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20) * sign(close - open)",,0.2201907215291528,666.4434932064662,1.7382518129539515,-12.805494631683915,-346.9075703853356
5,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20) * sign(close - open) * log(1 + ts_std(returns, 20))",,0.1383467572207831,665.5085129170158,1.8662467177241688,-11.047602918735436,-347.5458834430804
6,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20) * sign(close - open) * log(1 + ts_std(returns, 20)) * (1 - 0.5 * ts_mean(Turnover, 20))",Unknown identifier 'Turnover',,,,,-inf
7,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20) * sign(close - open) * log(1 + ts_std(returns, 20)) * (1 - 0.5 * ts_mean(Turnover, 20))",Unknown identifier 'Turnover',,,,,-inf
8,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20) * sign(close - open) * log(1 + ts_std(returns, 20)) * (1 - 0.5 * ts_mean(Turnover, 20))",Unknown identifier 'Turnover',,,,,-inf
9,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20) * sign(close - open) * log(1 + ts_std(returns, 20)) * (1 - 0.5 * ts_mean(Turnover, 20))",Unknown identifier 'Turnover',,,,,-inf
10,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20) * sign(close - open) * log(1 + ts_std(returns, 20)) * (1 - 0.5 * ts_mean(Turnover, 20))",Unknown identifier 'Turnover',,,,,-inf
11,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20) * sign(close - open) * log(1 + ts_std(returns, 20)) * (1 - 0.5 * ts_mean(Turnover, 20))",Unknown identifier 'Turnover',,,,,-inf
12,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20) * sign(close - open) * log(1 + ts_std(returns, 20))",,0.1383467572207831,665.5085129170158,1.8662467177241688,-11.047602918735436,-347.5458834430804
13,execution_aware,"ts_rank(decay_linear(close - vwap, 20), 20) * ts_rank(volume, 20) * sign(close - open) * log(1 + ts_std(returns, 20)) * correlation(close, vwap, 20)",,0.1382318525469579,665.2731912445856,1.8670931040654344,-11.030430454590245,-347.43510860226934
