iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,reward
1,baseline,"ts_rank(close - vwap, 20)",,-0.5883139244895274,693.0009264993666,1.7488120523839235,-13.58846612484818,-0.5883139244895274
2,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20)",,-0.5878619115374359,622.161966119833,1.53613175597689,-13.631597236359973,-0.5878619115374359
3,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20)",,-0.2923666747373647,665.7911896206725,1.6625493840883245,-12.81240007497041,-0.2923666747373647
4,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20)",,-0.1319705627490986,561.8736252083031,1.3732748715938776,-10.937409385357872,-0.1319705627490986
5,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20) + ts_rank(delta(vwap, 1), 20)",,0.03386697508410264,578.1290160967951,1.423769468414722,-10.474873131487618,0.03386697508410264
6,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20) + ts_rank(delta(vwap, 1), 20) + ts_rank(log(volume), 20)",,-0.03605527435474046,568.7060521185907,1.3971846479907926,-10.876175521827914,-0.03605527435474046
7,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20) + ts_rank(delta(vwap, 1), 20) + ts_rank(log(volume), 20) + ts_rank(decay_linear(close, 20), 20)",,-0.016260355483320357,552.8545169543356,1.35313561556871,-10.15803314679157,-0.016260355483320357
8,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20) + ts_rank(delta(vwap, 1), 20) + ts_rank(log(volume), 20) + ts_rank(decay_linear(close, 20), 20) + ts_rank(rank(close), 20)",,-0.06085243717118121,518.9583040348189,1.2596904972425889,-8.853660119137619,-0.06085243717118121
9,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20) + ts_rank(delta(vwap, 1), 20) + ts_rank(log(volume), 20) + ts_rank(decay_linear(close, 20), 20) + ts_rank(rank(close), 20) + ts_rank(ts_mean(close, 20), 20)",,-0.025260633112892776,454.58532567242634,1.0888054504072122,-7.526928651474444,-0.025260633112892776
10,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20) + ts_rank(delta(vwap, 1), 20) + ts_rank(log(volume), 20) + ts_rank(decay_linear(close, 20), 20) + ts_rank(rank(close), 20) + ts_rank(ts_mean(close, 20), 20) + ts_rank(ts_std(close, 20), 20)",,-0.0356664807454885,434.73149953121634,1.037827038186555,-7.2674803922859255,-0.0356664807454885
11,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20) + ts_rank(delta(vwap, 1), 20) + ts_rank(log(volume), 20) + ts_rank(decay_linear(close, 20), 20) + ts_rank(rank(close), 20) + ts_rank(ts_mean(close, 20), 20) + ts_rank(ts_std(close, 20), 20) + ts_rank(sign(close - ts_mean(close, 20)), 20)",,-0.052381312655996576,430.01868674980267,1.028041131460041,-7.100918102133351,-0.052381312655996576
12,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20) + ts_rank(delta(vwap, 1), 20) + ts_rank(log(volume), 20) + ts_rank(decay_linear(close, 20), 20) + ts_rank(rank(close), 20) + ts_rank(ts_mean(close, 20), 20) + ts_rank(ts_std(close, 20), 20) + ts_rank(sign(close - ts_mean(close, 20)), 20) + ts_rank(abs(close - vwap), 20)",,-0.05328958392542219,443.40352490509633,1.0605659866099886,-7.45956040474356,-0.05328958392542219
13,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20) + ts_rank(delta(vwap, 1), 20) + ts_rank(log(volume), 20) + ts_rank(decay_linear(close, 20), 20) + ts_rank(rank(close), 20) + ts_rank(ts_mean(close, 20), 20) + ts_rank(ts_std(close, 20), 20) + ts_rank(sign(close - ts_mean(close, 20)), 20) + ts_rank(abs(close - vwap), 20) + ts_rank(min(close, vwap), 20)",,-0.053459139821334975,408.18327739879777,0.9713585455335428,-6.624604149676941,-0.053459139821334975
14,baseline,"ts_rank(close - vwap, 20) + ts_rank(volume, 20) + ts_rank(delta(close, 1), 20) + ts_rank(correlation(close, volume, 20), 20) + ts_rank(delta(vwap, 1), 20) + ts_rank(log(volume), 20) + ts_rank(decay_linear(close, 20), 20) + ts_rank(rank(close), 20) + ts_rank(ts_mean(close, 20), 20) + ts_rank(ts_std(close, 20), 20) + ts_rank(sign(close - ts_mean(close, 20)), 20) + ts_rank(abs(close - vwap), 20) + ts_rank(min(close, vwap), 20) + ts_rank(max(close, vwap), 20)",,-0.06054635191344223,379.8197848140908,0.8998753133163204,-6.03471257105726,-0.06054635191344223
