iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,reward
1,execution_aware,"rank((close - ts_mean(close, 20)) / ts_std(close, 20))",,0.13502827154704747,222.82951643711675,0.5126770550493285,-3.417634156777955,-115.38114638740596
2,execution_aware,"rank(decay_linear((close - ts_mean(close, 20)) / ts_std(close, 20), 5))",,-0.003916285253720811,119.38099929627023,0.25961780228834785,-1.8560525717924132,-61.771358351695625
3,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5))",,-0.8486135472358941,35.04851714084652,0.06926850925883599,-1.8055150468525616,-18.92702019172984
4,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5) * sign(returns))",,-0.05026935520259299,600.4485239268121,1.5061415289730735,-15.33152396650395,-312.32366355039323
5,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5) * sign(returns)) * correlation(returns, ts_mean(returns, 20), 20)",,0.13552666730754376,450.8736028166469,1.1126461627440125,-10.903947165442164,-234.202444042968
6,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5) * sign(returns)) * correlation(returns, ts_mean(returns, 20), 20) * scale(1 / (1 + ts_std(returns, 20)))",,0.12564464874159664,450.92077692539806,1.1117278552698329,-10.89294771546354,-234.2285666561161
7,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5) * sign(returns)) * correlation(returns, ts_mean(returns, 20), 20) * scale(1 / (1 + ts_std(returns, 20))) * (1 - min(Turnover, 500) / 500)",Unknown identifier 'Turnover',,,,,-inf
8,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 20), 20) * scale(1 / (1 + ts_std(returns, 20))) * (1 - min(Turnover, 500) / 500)",Unknown identifier 'Turnover',,,,,-inf
9,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 20), 20) * scale(1 / (1 + ts_std(returns, 20))) * (1 - min(Turnover, 500) / 500)",Unknown identifier 'Turnover',,,,,-inf
10,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 20), 20) * scale(1 / (1 + ts_std(returns, 20))) * (1 - min(Turnover, 500) / 500)",Unknown identifier 'Turnover',,,,,-inf
11,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 20), 20) * scale(1 / (1 + ts_std(returns, 20))) * (1 - min(Turnover, 500) / 500)",Unknown identifier 'Turnover',,,,,-inf
12,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 20), 20) * scale(1 / (1 + ts_std(returns, 20))) * (1 - min(Turnover, 500) / 500)",Unknown identifier 'Turnover',,,,,-inf
13,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 20), 20) * scale(1 / (1 + ts_std(returns, 20)))",,-0.15073487988622583,189.48635508579127,0.42509494248891627,-5.137859387687283,-98.2946719626932
14,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60)))",,-0.17248825173649557,101.32709858816759,0.21834729565110647,-2.6783927754422567,-52.582815911029144
15,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60))) * sign(close - vwap)",,-0.6143414311036903,574.1246564744425,1.5123055325351344,-14.655928848259363,-299.77511392860606
16,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60))) * sign(close - vwap) * ts_rank(volume, 20)",,-0.21760895452376933,625.5210194407551,1.7092813981332744,-14.18813934327085,-326.6523698599675
17,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60))) * sign(close - vwap) * ts_rank(volume, 20) * (1 - ts_min(returns, 5))",,-0.2127670321239653,625.6357279892452,1.712522438609293,-14.12082855498341,-326.7308105356209
18,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60))) * sign(close - vwap) * ts_rank(volume, 20) * (1 - ts_min(returns, 5)) * rank(ts_mean(returns, 20))",,-0.02127772480156111,625.8538512818074,1.7636855705779841,-12.831258203820944,-327.0576879303291
19,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60))) * sign(close - vwap) * ts_rank(volume, 20) * (1 - ts_min(returns, 5)) * rank(ts_mean(returns, 20)) * ts_rank(returns, 20)",,-0.1448049062830165,639.0105959963188,1.85290148382107,-12.260375762199203,-334.473314775011
20,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60))) * sign(close - vwap) * ts_rank(volume, 20) * (1 - ts_min(returns, 5)) * rank(ts_mean(returns, 20)) * ts_rank(returns, 20) * (1 - delay(sign(delta(close, 1)), 1))",,-0.1278293109464453,752.4039860782863,2.3539667904502592,-14.71082534666122,-395.1615566736916
21,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60))) * sign(close - vwap) * ts_rank(volume, 20) * (1 - ts_min(returns, 5)) * rank(ts_mean(returns, 20)) * ts_rank(returns, 20) * (1 - delay(sign(delta(close, 1)), 1)) * (1 - ts_max(returns, 10))",,-0.11282036917479517,752.4535601211206,2.346337026154027,-14.751851035409535,-395.1102966389673
22,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60))) * sign(close - vwap) * ts_rank(volume, 20) * (1 - ts_min(returns, 5)) * rank(ts_mean(returns, 20)) * ts_rank(returns, 20) * (1 - delay(sign(delta(close, 1)), 1)) * (1 - ts_max(returns, 10)) * abs(returns - ts_mean(returns, 20))",,-0.10129542539876163,742.6142781737433,2.5636346008742263,-12.965805786479866,-391.9175113192642
23,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60))) * sign(close - vwap) * ts_rank(volume, 20) * (1 - ts_min(returns, 5)) * rank(ts_mean(returns, 20)) * ts_rank(returns, 20) * (1 - delay(sign(delta(close, 1)), 1)) * (1 - ts_max(returns, 10)) * abs(returns - ts_mean(returns, 20)) * (1 - ts_rank(ts_std(returns, 30), 20))",,-0.10890618593699704,743.0743918435097,2.468358356640502,-13.195833018579606,-391.39296896081584
24,execution_aware,"rank(decay_linear((high - low) / ts_mean(volume, 20), 5)) * correlation(returns, ts_mean(returns, 60), 60) * scale(1 / (1 + ts_std(returns, 60))) * sign(close - vwap) * ts_rank(volume, 20) * (1 - ts_min(returns, 5)) * rank(ts_mean(returns, 20)) * ts_rank(returns, 20) * (1 - delay(sign(delta(close, 1)), 1)) * (1 - ts_max(returns, 10)) * abs(returns - ts_mean(returns, 20)) * (1 - ts_rank(ts_std(returns, 30), 20)) * (1 - ts_min(returns, 20))",,-0.11347302500914153,743.1582403815561,2.470292826705544,-13.193085415501606,-391.4549358294315
