iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,node_count,reward
0,execution_aware,"rank(-1 * delta(close, 1))",,0.27239832742991077,324.5622185987921,1.6158493341221694,-12.939807853624515,4.0,-174.9355056449435
1,execution_aware,"decay_linear(rank(-1 * delta(close, 1)), 120)",,0.08971209123384835,37.12538954461992,0.15478669407967174,-0.8973923160602388,5.0,-19.711276233713484
2,execution_aware,"decay_linear(rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
3,execution_aware,"decay_linear(rank(-1 * delta(close, 1)), 480)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 480) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
4,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
5,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 480)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 480) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
6,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
7,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 360)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 360) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
8,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
9,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
10,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
11,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
12,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
13,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
14,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
15,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 480)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 480) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
16,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
17,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
18,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
19,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
20,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
21,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 360)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 360) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
22,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
23,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 480)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 480) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
24,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
25,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
26,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
27,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
28,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
29,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
30,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
31,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
32,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
33,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 480)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 480) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
34,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 240)",,0.09735901113679772,21.666311009855466,0.08970235906306424,-0.47540359632082513,5.0,-11.45341536629545
35,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
