iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,node_count,reward
0,baseline,"rank(-1 * delta(close, 1))",,0.27239832742991077,324.5622185987921,1.6158493341221694,-12.939807853624515,4.0,0.27239832742991077
1,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume))",,0.42117474350922784,301.75580708309656,1.5098370640196317,-11.763495464439755,6.0,0.42117474350922784
2,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20))",,0.43522816244874646,299.6125018997552,1.5014592895271133,-12.229091487210951,8.0,0.43522816244874646
3,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(cs_rank(high - low), 10))",,0.4809725763739125,307.46331885545817,1.5371173787025874,-12.471472185803567,12.0,0.2809725763739125
4,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(cs_rank(high - low), 10))",,0.4809725763739125,307.46331885545817,1.5371173787025874,-12.471472185803567,12.0,0.2809725763739125
5,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + cs_rank(high - low))",,0.45723108126403994,307.8824915533156,1.5394699191450736,-12.55765790423981,11.0,0.3072310812640399
6,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20))",,0.43522816244874646,299.6125018997552,1.5014592895271133,-12.229091487210951,8.0,0.43522816244874646
7,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(cs_rank(close - open), 20))",,0.4338347854151918,296.87360351952987,1.4886902467128944,-12.20318298139297,12.0,0.23383478541519181
8,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(close - open, 20))",,0.4450620537462255,289.4691371783556,1.4531850762136063,-12.16908118788926,11.0,0.29506205374622546
9,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(close - open, 20))",,0.4450620537462255,289.4691371783556,1.4531850762136063,-12.16908118788926,11.0,0.29506205374622546
10,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20))",,0.43522816244874646,299.6125018997552,1.5014592895271133,-12.229091487210951,8.0,0.43522816244874646
11,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(close, 5))",,-0.5840069236285015,7.942650126596315,0.03209843829601794,-0.9398309437171706,10.0,-0.6840069236285015
12,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20))",,0.43522816244874646,299.6125018997552,1.5014592895271133,-12.229091487210951,8.0,0.43522816244874646
13,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(close, 5))",,-0.5840069236285015,7.942650126596315,0.03209843829601794,-0.9398309437171706,10.0,-0.6840069236285015
14,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20))",,0.43522816244874646,299.6125018997552,1.5014592895271133,-12.229091487210951,8.0,0.43522816244874646
15,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(zscore(volume, 20), 10))",,0.3046633939214297,273.6544787070023,1.3647362531571807,-11.613467846321598,11.0,0.1546633939214297
16,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20))",,0.43522816244874646,299.6125018997552,1.5014592895271133,-12.229091487210951,8.0,0.43522816244874646
17,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(close, 10))",,-0.5710022894492082,7.842326556721332,0.03157163419141004,-0.9219454852162751,10.0,-0.6710022894492081
18,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20))",,0.43522816244874646,299.6125018997552,1.5014592895271133,-12.229091487210951,8.0,0.43522816244874646
19,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(cs_rank(high - low), 10))",,0.4809725763739125,307.46331885545817,1.5371173787025874,-12.471472185803567,12.0,0.2809725763739125
20,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20))",,0.43522816244874646,299.6125018997552,1.5014592895271133,-12.229091487210951,8.0,0.43522816244874646
21,baseline,"rank(-1 * delta(close, 1) + cs_rank(volume) + ts_rank(vwap, 20) + decay_linear(close, 50))",,-0.5024414974050087,7.653222823186226,0.03122328093032297,-0.8545312229988586,10.0,-0.6024414974050086
