iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,node_count,reward
0,baseline,"rank(-1 * delta(close, 1))",,0.3507011513924059,649.7173965826034,1.688114241015631,-11.703727507668646,4.0,0.3507011513924059
1,baseline,"cs_rank(-1 * delta(close, 1) / (volume + 1e-5))",,0.001660131404734544,630.4642183922704,1.6525738647963197,-13.679039108776612,6.0,0.001660131404734544
2,baseline,"cs_rank((-1 * delta(close, 1) / (volume + 1e-5)) + stddev(close, 20))",,-0.0888353047343544,41.05647166563304,0.08614139008456645,-0.8306945067203811,8.0,-0.0888353047343544
3,baseline,"cs_rank((-1 * delta(close, 1) / (volume + 1e-5)) + sma(close, 20))",,-0.4542121820603738,2.2748175669018593,0.004603020974849747,-0.498191845302493,8.0,-0.4542121820603738
4,baseline,"cs_rank((-1 * delta(close, 1) / (volume + 1e-5)) + ts_rank(close, 20))",,-0.13510510677705187,267.6354481275611,0.6524557719972393,-4.126923481032319,8.0,-0.13510510677705187
5,baseline,cs_rank(-1 * (close - vwap) / (volume + 1e-5)),,0.780227895288988,629.0350491801379,1.660411699030055,-14.945451235688834,6.0,0.780227895288988
6,baseline,cs_rank(-1 * (close - vwap) / (volume + 1e-5)) + cs_rank((close - open) / (high - low + 1e-5)),,0.33918268339785423,716.6827900998451,1.8735351865998793,-15.626940789087763,12.0,0.13918268339785422
7,baseline,cs_rank(-1 * (close - vwap) / (volume + 1e-5)) + cs_rank((close - open) / (high - low + 1e-5)),,0.33918268339785423,716.6827900998451,1.8735351865998793,-15.626940789087763,12.0,0.13918268339785422
8,baseline,cs_rank(-1 * (close - vwap) / (volume + 1e-5)),,0.780227895288988,629.0350491801379,1.660411699030055,-14.945451235688834,6.0,0.780227895288988
9,baseline,"cs_rank(-1 * (close - vwap) / (volume + 1e-5) + decay_linear(ts_rank(high - low, 20), 50))",,0.026805681030138088,134.67328970781728,0.29069826655358144,-2.738883631647792,10.0,-0.07319431896986192
10,baseline,"cs_rank(-1 * (close - vwap) / (volume + 1e-5) + zscore(high - low, 20))",,-0.3183460001408277,620.315332494827,1.581503692913662,-15.564227821262564,9.0,-0.3683460001408277
11,baseline,"cs_rank(-1 * (close - vwap) / (volume + 1e-5)) + cs_rank(zscore(close, 20))",,0.6083744635462919,523.2228632630128,1.3378271908266761,-10.084157337644294,9.0,0.5583744635462918
12,baseline,"cs_rank(-1 * (close - vwap) / (volume + 1e-5)) + cs_rank(zscore(close, 20))",,0.6083744635462919,523.2228632630128,1.3378271908266761,-10.084157337644294,9.0,0.5583744635462918
13,baseline,cs_rank(-1 * (close - vwap) / (volume + 1e-5)),,0.780227895288988,629.0350491801379,1.660411699030055,-14.945451235688834,6.0,0.780227895288988
