iteration,mode,factor_code,error,Gross_IR,Turnover,Cost_Impact,Net_IR,node_count,reward
0,execution_aware,"rank(-1 * delta(close, 1))",,0.5918162792718888,655.4300348316667,1.6067876390255218,-13.119024377716997,4.0,-339.97750224876563
1,execution_aware,"decay_linear(rank(-1 * delta(close, 1)), 252)",,-0.3000435786306264,32.49995559257647,0.06460858510583113,-0.7379119142077394,5.0,-17.06689005576551
2,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
3,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 252)",,-0.3000435786306264,32.49995559257647,0.06460858510583113,-0.7379119142077394,5.0,-17.06689005576551
4,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
5,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 252)",,-0.3000435786306264,32.49995559257647,0.06460858510583113,-0.7379119142077394,5.0,-17.06689005576551
6,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
7,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 252)",,-0.3000435786306264,32.49995559257647,0.06460858510583113,-0.7379119142077394,5.0,-17.06689005576551
8,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
9,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 252)",,-0.3000435786306264,32.49995559257647,0.06460858510583113,-0.7379119142077394,5.0,-17.06689005576551
10,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
11,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 252)",,-0.3000435786306264,32.49995559257647,0.06460858510583113,-0.7379119142077394,5.0,-17.06689005576551
12,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
13,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 1)), 252)",,-0.3000435786306264,32.49995559257647,0.06460858510583113,-0.7379119142077394,5.0,-17.06689005576551
14,execution_aware,"decay_linear(cs_rank(-1 * delta(close, 5)), 504)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 504) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
15,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 252)",,-0.11394615725816426,31.563843083142316,0.06489150692506969,-0.6928446527062145,5.0,-16.41499975422988
16,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 500), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.; INVALID_LOOKBACKS: ts_rank(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
17,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 200), 200)",,0.009298024848763681,44.353070479876195,0.09207859959362912,-0.7627443011696788,5.0,-22.903866011838367
18,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 300), 300)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 300) — lookback must be an integer with 2 <= N <= 252.; INVALID_LOOKBACKS: ts_rank(..., 300) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
19,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 200), 200)",,0.009298024848763681,44.353070479876195,0.09207859959362912,-0.7627443011696788,5.0,-22.903866011838367
20,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
21,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 180)",,0.024635275669653706,41.753478351300565,0.08552838391399126,-0.7049363378842678,5.0,-21.53633097129256
22,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 360)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 360) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
23,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 240)",,-0.0845435583545734,33.04935062758415,0.06767101535401134,-0.6850357948503623,5.0,-17.150586994978738
24,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 365), 365)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 365) — lookback must be an integer with 2 <= N <= 252.; INVALID_LOOKBACKS: ts_rank(..., 365) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
25,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 180)",,0.024635275669653706,41.753478351300565,0.08552838391399126,-0.7049363378842678,5.0,-21.53633097129256
26,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 360)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 360) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
27,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 180)",,0.024635275669653706,41.753478351300565,0.08552838391399126,-0.7049363378842678,5.0,-21.53633097129256
28,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 365)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 365) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
29,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 200)",,-0.018133303719587296,38.5312936102569,0.07889219426847342,-0.7017133394786572,5.0,-19.914917662995826
30,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
31,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 120)",,0.21191096937697662,55.238725636434424,0.11626974165845264,-0.7444235711298361,5.0,-28.337609782107858
32,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 500)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 500) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
33,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 126)",,0.1521524454181734,53.565499682464754,0.11238593348561003,-0.7741337292286972,5.0,-27.52968486369908
34,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 504)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 504) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
35,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 126)",,0.1521524454181734,53.565499682464754,0.11238593348561003,-0.7741337292286972,5.0,-27.52968486369908
36,execution_aware,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 504)","Rejected by AST anti-pattern guardrails: INVALID_LOOKBACKS: decay_linear(..., 504) — lookback must be an integer with 2 <= N <= 252.",,,,,,-inf
