Mode,Fold,Train,Test,Factor,OOS_Gross_IR,OOS_Turnover,OOS_Net_IR
Baseline,0,2016-08-11 to 2020-08-10,2020-08-11 to 2021-08-10,"cs_rank(-1 * (delta(close, 1) + zscore(close, 10) + cs_rank(vwap)))",0.619978709388274,535.0720533111205,-8.467694289987806
Baseline,1,2017-08-11 to 2021-08-10,2021-08-11 to 2022-08-10,"rank(-1 * (delta(close, 1) + zscore(volume, 20) + cs_rank(vwap)))",-0.739642983159922,606.3157017909205,-12.503682997562032
Baseline,2,2018-08-11 to 2022-08-10,2022-08-11 to 2023-08-10,"cs_rank(-1 * (close - vwap) / (ts_rank(volume, 60) + 1e-5)) + cs_rank(vwap - open) / 2",-1.6504348985149597,682.7058561792431,-20.878301282962916
Baseline,3,2019-08-11 to 2023-08-10,2023-08-11 to 2024-08-10,"cs_rank(-1 * delta(close, 1) + zscore(volume, 20) + zscore(stddev(close, 20), 20) + zscore(vwap, 20))",1.0219581606288248,456.7797149594044,-12.589327278765655
Baseline,4,2020-08-11 to 2024-08-10,2024-08-11 to 2025-08-10,"rank(-1 * delta(close, 1) + cs_rank(volume) + zscore(vwap, 20))",-0.13401545268028298,584.811268397204,-12.097984479144362
Baseline,5,2021-08-11 to 2025-08-10,2025-08-11 to 2026-08-10,rank(close - open) + rank(volume / (high - low + 1e-5)),1.0479786357318783,490.0064104671269,-8.39940013379015
Execution-Aware,0,2016-08-11 to 2020-08-10,2020-08-11 to 2021-08-10,"decay_linear(ts_rank(-1 * delta(close, 1), 252), 252)",0.27973376424018304,62.73196511828314,-0.4568911798272465
Execution-Aware,1,2017-08-11 to 2021-08-10,2021-08-11 to 2022-08-10,"decay_linear(cs_rank(-1 * delta(close, 252)), 252)",1.403159647499066,3.858868382812037,1.3302834798004066
Execution-Aware,2,2018-08-11 to 2022-08-10,2022-08-11 to 2023-08-10,"decay_linear(cs_rank(-1 * delta(close, 252)), 252)",0.8195480253059765,4.323846645499549,0.7670748560999658
Execution-Aware,3,2019-08-11 to 2023-08-10,2023-08-11 to 2024-08-10,"decay_linear(cs_rank(-1 * delta(close, 252)), 252)",-0.5639897457019468,3.5505003357772003,-0.6123118739732317
Execution-Aware,4,2020-08-11 to 2024-08-10,2024-08-11 to 2025-08-10,"decay_linear(cs_rank(-1 * delta(close, 200)), 252) * decay_linear(cs_rank(volume), 252)",1.758300703284102,2.1106804746648797,1.7067780846097602
Execution-Aware,5,2021-08-11 to 2025-08-10,2025-08-11 to 2026-08-10,"decay_linear(cs_rank(-1 * delta(close, 20)), 240)",0.14244410231782353,13.975784600151373,-0.004698423937241091
